SALT LAKE CITY INTERNATIONAL AIRPORT,01/22/21,34
SALT LAKE CITY INTERNATIONAL AIRPORT,01/23/21,37
SALT LAKE CITY INTERNATIONAL AIRPORT,01/24/21,29
SALT LAKE CITY INTERNATIONAL AIRPORT,01/25/21,27
SALT LAKE CITY INTERNATIONAL AIRPORT,01/26/21,25
SALT LAKE CITY INTERNATIONAL AIRPORT,01/27/21,30
SALT LAKE CITY INTERNATIONAL AIRPORT,01/28/21,39
SALT LAKE CITY INTERNATIONAL AIRPORT,01/29/21,46
SALT LAKE CITY INTERNATIONAL AIRPORT,01/30/21,37
SALT LAKE CITY INTERNATIONAL AIRPORT,01/31/21,35
SALT LAKE CITY INTERNATIONAL AIRPORT,02/01/21,34
SALT LAKE CITY INTERNATIONAL AIRPORT,02/02/21,36
SALT LAKE CITY INTERNATIONAL AIRPORT,02/03/21,42
SALT LAKE CITY INTERNATIONAL AIRPORT,02/04/21,34
SALT LAKE CITY INTERNATIONAL AIRPORT,02/05/21,34
SALT LAKE CITY INTERNATIONAL AIRPORT,02/06/21,36
SALT LAKE CITY INTERNATIONAL AIRPORT,02/07/21,43
SALT LAKE CITY INTERNATIONAL AIRPORT,02/08/21,44
SALT LAKE CITY INTERNATIONAL AIRPORT,02/09/21,41
SALT LAKE CITY INTERNATIONAL AIRPORT,02/10/21,44
SALT LAKE CITY INTERNATIONAL AIRPORT,02/11/21,44
SALT LAKE CITY INTERNATIONAL AIRPORT,02/12/21,45
SALT LAKE CITY INTERNATIONAL AIRPORT,02/13/21,39
SALT LAKE CITY INTERNATIONAL AIRPORT,02/14/21,30
SALT LAKE CITY INTERNATIONAL AIRPORT,02/15/21,33
SALT LAKE CITY INTERNATIONAL AIRPORT,02/16/21,34
SALT LAKE CITY INTERNATIONAL AIRPORT,02/17/21,30
SALT LAKE CITY INTERNATIONAL AIRPORT,02/18/21,27
SALT LAKE CITY INTERNATIONAL AIRPORT,02/19/21,33
SALT LAKE CITY INTERNATIONAL AIRPORT,02/20/21,39
SALT LAKE CITY INTERNATIONAL AIRPORT,02/21/21,35
SALT LAKE CITY INTERNATIONAL AIRPORT,02/22/21,38
SALT LAKE CITY INTERNATIONAL AIRPORT,02/23/21,41
SALT LAKE CITY INTERNATIONAL AIRPORT,02/24/21,32
SALT LAKE CITY INTERNATIONAL AIRPORT,02/25/21,30
SALT LAKE CITY INTERNATIONAL AIRPORT,02/26/21,36
SALT LAKE CITY INTERNATIONAL AIRPORT,02/27/21,31
SALT LAKE CITY INTERNATIONAL AIRPORT,02/28/21,29
SALT LAKE CITY INTERNATIONAL AIRPORT,03/01/21,32
SALT LAKE CITY INTERNATIONAL AIRPORT,03/02/21,38
SALT LAKE CITY INTERNATIONAL AIRPORT,03/03/21,43
SALT LAKE CITY INTERNATIONAL AIRPORT,03/04/21,48
SALT LAKE CITY INTERNATIONAL AIRPORT,03/05/21,47
SALT LAKE CITY INTERNATIONAL AIRPORT,03/06/21,54
SALT LAKE CITY INTERNATIONAL AIRPORT,03/07/21,47
SALT LAKE CITY INTERNATIONAL AIRPORT,03/08/21,54
SALT LAKE CITY INTERNATIONAL AIRPORT,03/09/21,48
SALT LAKE CITY INTERNATIONAL AIRPORT,03/10/21,40
SALT LAKE CITY INTERNATIONAL AIRPORT,03/11/21,40
SALT LAKE CITY INTERNATIONAL AIRPORT,03/12/21,37
SALT LAKE CITY INTERNATIONAL AIRPORT,03/13/21,42
SALT LAKE CITY INTERNATIONAL AIRPORT,03/14/21,43
SALT LAKE CITY INTERNATIONAL AIRPORT,03/15/21,50
SALT LAKE CITY INTERNATIONAL AIRPORT,03/16/21,50
SALT LAKE CITY INTERNATIONAL AIRPORT,03/17/21,47
SALT LAKE CITY INTERNATIONAL AIRPORT,03/18/21,52
SALT LAKE CITY INTERNATIONAL AIRPORT,03/19/21,57
SALT LAKE CITY INTERNATIONAL AIRPORT,03/20/21,53
SALT LAKE CITY INTERNATIONAL AIRPORT,03/21/21,37
SALT LAKE CITY INTERNATIONAL AIRPORT,03/22/21,36
SALT LAKE CITY INTERNATIONAL AIRPORT,03/23/21,37
SALT LAKE CITY INTERNATIONAL AIRPORT,03/24/21,40
SALT LAKE CITY INTERNATIONAL AIRPORT,03/25/21,41
SALT LAKE CITY INTERNATIONAL AIRPORT,03/26/21,38
SALT LAKE CITY INTERNATIONAL AIRPORT,03/27/21,43
SALT LAKE CITY INTERNATIONAL AIRPORT,03/28/21,49
SALT LAKE CITY INTERNATIONAL AIRPORT,03/29/21,52
SALT LAKE CITY INTERNATIONAL AIRPORT,03/30/21,35
SALT LAKE CITY INTERNATIONAL AIRPORT,03/31/21,39
SALT LAKE CITY INTERNATIONAL AIRPORT,04/01/21,47
SALT LAKE CITY INTERNATIONAL AIRPORT,04/02/21,55
SALT LAKE CITY INTERNATIONAL AIRPORT,04/03/21,61
SALT LAKE CITY INTERNATIONAL AIRPORT,04/04/21,65
SALT LAKE CITY INTERNATIONAL AIRPORT,04/05/21,63
SALT LAKE CITY INTERNATIONAL AIRPORT,04/06/21,43
SALT LAKE CITY INTERNATIONAL AIRPORT,04/07/21,47
SALT LAKE CITY INTERNATIONAL AIRPORT,04/08/21,54
SALT LAKE CITY INTERNATIONAL AIRPORT,04/09/21,47
SALT LAKE CITY INTERNATIONAL AIRPORT,04/10/21,52
SALT LAKE CITY INTERNATIONAL AIRPORT,04/11/21,50
SALT LAKE CITY INTERNATIONAL AIRPORT,04/12/21,44
SALT LAKE CITY INTERNATIONAL AIRPORT,04/13/21,47
SALT LAKE CITY INTERNATIONAL AIRPORT,04/14/21,45
SALT LAKE CITY INTERNATIONAL AIRPORT,04/15/21,41
SALT LAKE CITY INTERNATIONAL AIRPORT,04/16/21,42
SALT LAKE CITY INTERNATIONAL AIRPORT,04/17/21,47
SALT LAKE CITY INTERNATIONAL AIRPORT,04/18/21,49
SALT LAKE CITY INTERNATIONAL AIRPORT,04/19/21,55
SALT LAKE CITY INTERNATIONAL AIRPORT,04/20/21,45
SALT LAKE CITY INTERNATIONAL AIRPORT,04/21/21,51
SALT LAKE CITY INTERNATIONAL AIRPORT,04/22/21,51
SALT LAKE CITY INTERNATIONAL AIRPORT,04/23/21,55
SALT LAKE CITY INTERNATIONAL AIRPORT,04/24/21,57
SALT LAKE CITY INTERNATIONAL AIRPORT,04/25/21,57
SALT LAKE CITY INTERNATIONAL AIRPORT,04/26/21,46
SALT LAKE CITY INTERNATIONAL AIRPORT,04/27/21,43
SALT LAKE CITY INTERNATIONAL AIRPORT,04/28/21,51
SALT LAKE CITY INTERNATIONAL AIRPORT,04/29/21,58
SALT LAKE CITY INTERNATIONAL AIRPORT,04/30/21,65
SALT LAKE CITY INTERNATIONAL AIRPORT,05/01/21,72
SALT LAKE CITY INTERNATIONAL AIRPORT,05/02/21,62
SALT LAKE CITY INTERNATIONAL AIRPORT,05/03/21,56
SALT LAKE CITY INTERNATIONAL AIRPORT,05/04/21,58
SALT LAKE CITY INTERNATIONAL AIRPORT,05/05/21,60
SALT LAKE CITY INTERNATIONAL AIRPORT,05/06/21,65
SALT LAKE CITY INTERNATIONAL AIRPORT,05/07/21,75
SALT LAKE CITY INTERNATIONAL AIRPORT,05/08/21,56
SALT LAKE CITY INTERNATIONAL AIRPORT,05/09/21,52
SALT LAKE CITY INTERNATIONAL AIRPORT,05/10/21,53
SALT LAKE CITY INTERNATIONAL AIRPORT,05/11/21,53
SALT LAKE CITY INTERNATIONAL AIRPORT,05/12/21,58
SALT LAKE CITY INTERNATIONAL AIRPORT,05/13/21,67
SALT LAKE CITY INTERNATIONAL AIRPORT,05/14/21,73
SALT LAKE CITY INTERNATIONAL AIRPORT,05/15/21,72
SALT LAKE CITY INTERNATIONAL AIRPORT,05/16/21,69
SALT LAKE CITY INTERNATIONAL AIRPORT,05/17/21,62
SALT LAKE CITY INTERNATIONAL AIRPORT,05/18/21,67
SALT LAKE CITY INTERNATIONAL AIRPORT,05/19/21,72
SALT LAKE CITY INTERNATIONAL AIRPORT,05/20/21,69
SALT LAKE CITY INTERNATIONAL AIRPORT,05/21/21,58
SALT LAKE CITY INTERNATIONAL AIRPORT,05/22/21,56
SALT LAKE CITY INTERNATIONAL AIRPORT,05/23/21,56
SALT LAKE CITY INTERNATIONAL AIRPORT,05/24/21,53
